name,host_id,host_name,host_since,host_since_years,Seasons,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,host_has_profile_pic,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Cozy private second floor,44659281,Aaron,9/20/15,2015,4,1,1,1,0,1,69,Mount Rainier,MD,20712,11,0,8,2,2,1,1,1,Real Bed,52,2,0,0,0,0,2,$15.00 ,1,1125,359,10/2/15,1,9/27/15,9/27/15,80,10,8,1,1,0,0,1,1
Cheap room near Fort Totten Metro,11798122,Michael,1/30/14,2014,4,1,1,1,1,1,23,Hyattsville,MD,20782,10,0,6,2,1,1,1,1,Real Bed,23,1,0,0,0,5,1,$10.00 ,1,1125,333,10/2/15,1,10/1/15,10/1/15,100,10,10,0,1,0,0,1,1
"Near Washington,DC",34290236,Ayesha,5/26/15,2015,0,1,1,1,1,1,86,Silver Spring,MD,20910,1,0,1,3,2,1,1,2,Real Bed,200,3,0,0,100,0,1,$0.00 ,1,1125,363,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
All the comfort you need.,44546458,Afam,9/19/15,2015,0,1,1,1,1,1,69,Mount Rainier,MD,20712,11,0,1,1,2,1,1,1,Real Bed,100,2,550,0,0,0,1,$0.00 ,1,1125,365,10/2/15,0,0,0,0,0,0,1,2,0,0,1,0
Sunny Cape Cod minutes from DC,2245859,Narae,4/28/12,2012,0,1,1,1,1,1,92,Takoma Park,MD,20912,13,0,8,1,7,3,4,3,Real Bed,129,2,799,2700,99,99,1,$0.00 ,14,1125,120,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
CHIC DC URBAN RETREAT,966914,Annie,8/14/11,2011,4,0,1,1,0,1,101,Washington,DC,20008,14,0,1,1,1,1,1,1,Real Bed,149,2,999,2499,0,0,1,$99.00 ,3,31,18,10/3/15,46,3/11/12,10/1/15,100,10,10,1,3,0,0,1,1.06
Perfect studio in VERY central DC,2070536,Joel,4/4/12,2012,4,0,2,2,0,1,61,Washington,DC,20005,14,0,1,1,4,1,1,2,Real Bed,150,2,1100,3700,100,30,2,$20.00 ,2,365,351,10/2/15,84,5/20/13,9/30/15,99,10,10,1,2,1,1,2,2.91
"Logan Circle Loft 1bedroom, 1.5bath",12725500,Mayrose,3/2/14,2014,3,1,1,1,1,1,61,Washington,DC,20005,14,0,1,1,4,1.5,1,1,Real Bed,175,3,1000,3100,0,25,2,$25.00 ,1,1125,361,10/2/15,25,4/7/14,8/1/15,91,10,8,1,1,0,0,1,1.38
Updated 2BD Rowhome Steps to Metro,9540128,Matt,10/20/13,2013,3,1,1,1,0,1,83,Washington,DC,20001,14,0,8,1,3,1,2,2,Real Bed,239,3,0,3500,0,50,1,$0.00 ,5,1125,345,10/3/15,4,12/16/13,8/8/14,100,9,10,1,3,0,0,1,0.18
Cozy Apt in the Heart of Hipsterdom,22207701,Trevor,10/6/14,2014,3,1,1,1,0,1,68,Washington,DC,20001,14,0,1,2,4,1,1,2,Real Bed,65,2,425,1500,0,0,2,$0.00 ,2,1125,63,10/3/15,2,8/13/15,8/28/15,100,10,10,1,1,0,0,1,1.15
Beautiful room in amazing location!,12772446,Helen,3/3/14,2014,4,1,1,1,0,1,83,Washington,DC,20001,14,0,1,2,2,1,1,1,Real Bed,71,2,500,0,0,12,2,$25.00 ,2,14,319,10/2/15,83,6/30/14,9/25/15,97,10,9,1,2,0,0,1,5.4
Clean Studio - Next to Conv Center!,4240274,Charlie,11/25/12,2012,4,1,3,3,0,1,83,Washington,DC,20001,14,0,1,1,2,1,1,1,Real Bed,80,2,0,0,0,0,1,$0.00 ,1,1125,123,10/2/15,19,7/19/15,9/27/15,89,9,9,0,2,0,0,3,7.4
Rowhouse,2798,Ayeh,9/7/08,2008,3,1,3,3,0,1,83,Washington,DC,20001,14,0,8,2,4,2.5,1,3,Real Bed,250,3,0,0,0,0,2,$125.00 ,1,730,340,10/2/15,94,1/21/09,6/12/15,95,9,9,1,3,0,0,3,1.15
Upscale Master Close to Everything,481929,Chris,4/3/11,2011,4,1,5,5,0,1,83,Washington,DC,20001,14,0,8,2,2,1,1,1,Real Bed,138,2,1000,2494,250,50,1,$20.00 ,1,365,365,10/2/15,47,4/19/11,9/17/15,92,9,8,1,2,1,1,4,0.87
Sunny Bedroom with En Suite Bath,343320,Helen & Journey,1/11/11,2011,4,0,1,1,1,1,83,Washington,DC,20001,14,0,8,2,2,1,1,1,Real Bed,94,2,0,0,0,0,1,$25.00 ,2,21,308,10/2/15,150,3/12/11,9/29/15,98,10,10,1,2,1,1,1,2.7
2BR/2.5BTH PH Loft featured on HGTV,1640384,Christopher,1/23/12,2012,3,0,2,2,0,1,83,Washington,DC,20001,14,0,9,1,5,2.5,2,2,Real Bed,283,4,1650,4400,500,120,4,$50.00 ,3,1125,297,10/3/15,15,8/5/14,7/20/15,100,10,10,1,2,0,0,1,1.06
Sunny 1-Bed Apt White House / Logan,25534764,Joseph,1/3/15,2015,0,1,1,1,1,1,31,Washington,DC,20005,14,0,1,1,3,1,1,3,Real Bed,127,2,700,0,0,0,1,$0.00 ,3,16,0,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
CONVENTION CENTER METRO STATION #2,871824,Tony,7/26/11,2011,4,1,2,2,1,1,83,Washington,DC,20001,14,0,11,2,6,1,1,3,Real Bed,79,2,0,2000,0,0,1,$26.00 ,1,365,349,10/2/15,69,5/29/12,9/16/15,91,9,10,1,3,0,0,2,1.69
Charming Garden Level Apartment,32791385,Elgeo,5/6/15,2015,3,1,1,1,0,1,83,Washington,DC,20001,14,0,1,1,3,1,1,1,Real Bed,110,2,600,0,0,0,1,$0.00 ,1,1125,62,10/3/15,1,8/3/15,8/3/15,100,10,10,1,1,0,0,1,0.48
"Dupont Circle, 14th ST Unbeatable!",8008783,Cliff,8/7/13,2013,4,1,30,30,0,1,61,Washington,DC,20009,14,0,8,1,9,2.5,3,5,Real Bed,480,5,3000,10500,0,200,6,$5.00 ,3,1125,325,10/3/15,5,5/5/15,9/29/15,95,10,10,1,3,0,0,27,0.99
2bd/2ba A+ Logan Circle Penthouse,5750063,Alex,4/3/13,2013,4,1,1,1,0,1,61,Washington,DC,20005,14,0,1,1,6,2,2,3,Real Bed,372,5,2275,6500,0,80,4,$40.00 ,3,1125,326,10/3/15,33,10/5/13,9/18/15,96,10,9,1,2,0,0,1,1.36
One Bedroom Apt. in heart of Shaw,25197983,Nya,12/25/14,2014,4,1,1,1,0,1,83,Washington,DC,20001,14,0,1,1,3,1,1,2,Real Bed,125,2,700,2625,0,60,2,$0.00 ,1,30,57,10/3/15,11,7/3/15,9/24/15,93,9,9,0,1,0,0,1,3.55
Modern apartment in the heart of DC,22586098,Luisa,10/15/14,2014,3,1,2,2,0,1,83,Washington,DC,20001,14,0,1,3,1,1,1,1,Airbed,80,2,518,0,0,0,1,$0.00 ,1,1125,360,10/3/15,5,5/8/15,7/5/15,96,9,9,1,2,0,0,2,1.01
"Convention Center, Sleeps 5 ",8008783,Cliff,8/7/13,2013,4,1,30,30,0,1,31,Washington,DC,20001,14,0,1,1,5,1,0,3,Real Bed,90,2,0,0,0,100,1,$0.00 ,3,999,313,10/3/15,29,9/19/13,9/16/15,91,10,9,1,3,0,0,27,1.17
M St Apt C,6059772,Jon,4/23/13,2013,4,1,4,4,0,1,68,Washington,DC,20001,14,0,1,1,3,1,0,2,Real Bed,110,2,700,2700,0,35,0,$0.00 ,2,1125,345,10/3/15,32,2/25/15,9/21/15,84,9,8,1,1,1,1,4,4.34
Logan Circle Bright & Beautiful Apt,20655478,Elizabeth,8/28/14,2014,4,1,1,1,0,1,61,Washington,DC,20001,14,0,1,1,3,1,2,3,Real Bed,100,2,595,0,0,40,1,$20.00 ,3,1125,0,10/3/15,1,9/25/15,9/25/15,100,10,10,1,3,0,0,1,1
Gorgeous + Location 2BR/2BA,14039163,Patrick,4/8/14,2014,4,1,1,1,0,1,61,Washington,DC,20009,14,0,1,1,4,2,2,2,Real Bed,250,3,1000,0,250,75,4,$25.00 ,1,100,41,10/3/15,15,3/23/15,9/21/15,97,10,9,1,3,0,0,1,2.31
Large Room in Renovated House,2755315,Chito,6/26/12,2012,0,1,5,5,0,1,89,Washington,DC,20032,14,0,8,2,1,1,1,1,Real Bed,55,2,195,595,150,75,1,$25.00 ,1,1125,364,10/3/15,0,0,0,0,0,0,1,3,0,0,5,0
Inauguration 2013 | $400/nt | SW DC,4275311,Danielle,11/28/12,2012,0,1,1,1,0,1,6,Washington,DC,20032,14,0,1,1,2,1,1,1,Airbed,400,5,0,0,200,0,1,$0.00 ,2,4,365,10/2/15,0,0,0,0,0,0,1,2,0,0,1,0
Comfy Futon in Private Room,2755315,Chito,6/26/12,2012,0,1,5,5,0,1,89,Washington,DC,20032,14,0,8,2,1,1,1,1,Futon,35,1,165,595,0,25,1,$0.00 ,1,1125,360,10/2/15,0,0,0,0,0,0,1,3,0,0,5,0
DC house with feel of the suburbs,1299708,Wade,10/16/11,2011,3,1,1,1,0,1,6,Washington,DC,20032,14,0,8,1,4,2,2,2,Real Bed,160,3,0,0,200,30,1,$0.00 ,2,8,0,10/3/15,5,3/17/15,6/19/15,96,10,9,1,2,0,0,1,0.75
Clean convenient 2 BR with parking!,37984671,Nardyne,7/9/15,2015,3,1,2,2,0,1,6,Washington,DC,20032,14,0,11,1,4,2.5,2,2,Real Bed,130,2,800,2800,300,60,1,$10.00 ,2,1125,346,10/3/15,1,7/30/15,7/30/15,100,10,10,1,3,0,0,2,0.45
Quiet Single Room - Smoke Free Home,12745759,Donnice,3/3/14,2014,0,1,1,1,0,1,97,Washington,DC,20032,14,0,11,2,1,1,1,1,Real Bed,50,1,225,700,0,0,1,$0.00 ,1,1125,194,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Freshness - Affordable DC Living,30275290,Darryl,3/30/15,2015,0,1,1,1,0,1,27,Washington,DC,20032,14,0,8,2,2,1,1,1,Real Bed,150,2,600,1500,0,0,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Garden Paradise in Southeast DC,10855700,Nathan,12/27/13,2013,4,1,1,1,1,1,85,Washington,DC,20032,14,0,8,2,2,1.5,1,1,Real Bed,40,1,230,0,0,0,1,$0.00 ,1,1125,267,10/3/15,9,5/13/14,9/17/15,84,8,8,1,1,0,0,1,0.53
Private Room in Spacious Basement,2755315,Chito,6/26/12,2012,0,1,5,5,0,1,89,Washington,DC,20032,14,0,8,2,2,1,1,1,Real Bed,45,1,195,495,0,0,1,$0.00 ,1,1125,354,10/3/15,0,0,0,0,0,0,1,1,0,0,5,0
Clean convenient BR with parking!,37984671,Nardyne,7/9/15,2015,0,1,2,2,0,1,6,Washington,DC,20032,14,0,11,2,2,2.5,1,1,Real Bed,55,2,256,903,300,25,1,$10.00 ,2,1125,345,10/3/15,0,0,0,0,0,0,1,3,0,0,2,0
Cozy Southeast Getaway,24266762,Saud,11/28/14,2014,1,1,1,1,1,1,97,Washington,DC,20032,14,0,1,1,2,1,1,1,Real Bed,200,3,0,0,0,0,1,$0.00 ,1,1125,365,10/2/15,1,1/1/15,1/1/15,100,10,10,1,1,0,0,1,0.11
Private BR Shared Bath Sunny TH,3517743,Kanita,9/9/12,2012,3,1,2,2,0,1,30,Washington,DC,20020,14,0,8,2,2,1,1,1,Real Bed,65,2,350,900,0,0,1,$15.00 ,1,1125,296,10/2/15,4,4/19/15,8/18/15,100,10,10,1,1,1,1,2,0.71
Private BR Shared Bath Sunny TH,3517743,Kanita,9/9/12,2012,3,1,2,2,0,1,30,Washington,DC,20020,14,0,8,2,1,1,1,1,Real Bed,65,2,350,900,0,0,1,$15.00 ,1,1125,336,10/2/15,2,3/23/15,8/11/15,90,8,9,1,1,1,1,2,0.31
Close to Navy Yard and Capitol Hill,35672131,Lee,6/12/15,2015,4,1,1,1,0,1,30,Washington,DC,20020,14,0,11,2,2,1,1,1,Real Bed,59,2,375,1239,0,0,1,$25.00 ,1,1125,353,10/3/15,18,8/7/15,9/22/15,98,10,10,1,3,0,0,1,9.31
"Room close to Bus, Metro & Shopping",31818247,Nell ( & Noel),4/23/15,2015,3,1,2,2,1,1,47,Washington,DC,20020,14,0,8,2,3,1,1,1,Real Bed,69,2,0,0,0,10,2,$0.00 ,1,1125,353,10/3/15,8,7/7/15,8/2/15,98,10,10,0,3,0,0,2,2.7
English Basement & Bath,2755315,Chito,6/26/12,2012,4,1,5,5,0,1,100,Washington,DC,20020,14,0,8,2,1,1,1,1,Real Bed,49,1,185,575,0,35,1,$0.00 ,1,1125,356,10/2/15,1,9/24/15,9/24/15,100,10,10,1,3,0,0,5,1
Great Condo! Private Bedroom & Bath,43128240,Brandon,9/1/15,2015,0,1,1,1,1,1,100,Washington,DC,20020,14,0,1,2,2,1,1,1,Real Bed,60,2,350,1200,100,0,2,$0.00 ,1,365,364,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Affordable & private near to Subway,31818247,Nell ( & Noel),4/23/15,2015,4,1,2,2,1,1,47,Washington,DC,20020,14,0,8,2,2,1,1,1,Real Bed,69,2,0,0,0,10,1,$0.00 ,1,1125,348,10/3/15,19,8/5/15,9/29/15,98,9,10,0,3,0,0,2,9.5
"Steps to Metro, food & DC fun!",27799880,Jennifer,2/15/15,2015,4,1,1,1,1,1,71,Washington,DC,20003,14,0,1,1,4,1,1,2,Real Bed,157,3,934,3297,0,65,2,$10.00 ,2,1125,324,10/3/15,3,8/13/15,9/5/15,100,10,10,1,2,0,0,1,1.73
Cozy Apt w/ Views of the Monument!,112193,Jayne,4/22/10,2010,3,1,1,1,0,1,71,Washington,DC,20003,14,0,1,1,2,1,1,1,Real Bed,135,2,900,2500,150,95,1,$0.00 ,6,1125,138,10/3/15,6,8/20/14,8/17/15,97,10,9,1,2,0,0,1,0.44
"Private room, Navy Yard area",487346,Jack,4/5/11,2011,4,1,1,1,0,1,71,Washington,DC,20003,14,0,8,2,2,1,1,1,Real Bed,90,2,425,1100,0,0,1,$0.00 ,2,1125,327,10/2/15,6,5/25/14,9/12/15,97,10,9,1,1,0,0,1,0.36
DC's Capitol Hill/Waterfront 1BD,23182731,M. Reese,10/31/14,2014,3,1,1,1,0,1,71,Washington,DC,20003,14,0,1,1,2,1,1,1,Real Bed,102,2,650,1850,100,49,2,$0.00 ,5,31,335,10/2/15,6,12/14/14,8/8/15,88,10,9,1,3,0,0,1,0.61
1 BR in Amenities Bldg - Nats Park!,42721155,Seth,8/27/15,2015,0,1,1,1,1,1,71,Washington,DC,20003,14,0,1,1,3,1,1,1,Real Bed,99,2,650,0,100,50,1,$0.00 ,1,19,22,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
Navy Yard apt with Capitol view,26806034,Darik,1/27/15,2015,2,1,1,1,1,1,71,Washington,DC,20003,14,0,1,1,2,1,1,1,Real Bed,195,3,0,0,0,0,1,$0.00 ,1,1125,167,10/2/15,1,4/25/15,4/25/15,100,10,10,1,1,0,0,1,0.19
Eastern Market english basement,1632216,Louisa,1/20/12,2012,4,1,1,1,0,1,17,Washington,DC,20003,14,0,1,1,4,1,1,2,Real Bed,160,3,800,2400,200,50,1,$0.00 ,1,1125,347,10/2/15,59,5/19/12,9/18/15,92,9,9,1,1,0,0,1,1.44
Navy Yard/ Capitol Hill Luxury Apt,33664909,Audrey,5/18/15,2015,3,1,2,2,0,1,71,Washington,DC,20003,14,0,1,2,2,1,1,1,Real Bed,95,2,800,2000,0,100,1,$45.00 ,1,1125,287,10/2/15,1,8/2/15,8/2/15,80,10,10,1,3,0,0,2,0.48
Capitol Hill | Navy Yrd Luxury Apt,42060546,Amy,8/20/15,2015,0,1,1,1,1,1,71,Washington,DC,20003,14,0,1,1,2,1,1,1,Real Bed,120,2,0,0,0,0,1,$0.00 ,1,1125,294,10/2/15,0,0,0,0,0,0,0,1,0,0,1,0
Nats Capitol Navy Yd SE Water DOT!!,1730491,Renny,2/10/12,2012,0,1,2,2,0,1,71,Washington,DC,20003,14,0,1,1,6,2,2,3,Real Bed,249,3,1250,4000,0,59,6,$75.00 ,2,180,150,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
1BR/BA in DC w/View of Capitol,41426628,Leslie,8/13/15,2015,4,1,1,1,1,1,71,Washington,DC,20003,14,0,1,1,2,1,1,1,Real Bed,88,2,524,1848,200,35,1,$0.00 ,3,1125,25,10/3/15,1,9/23/15,9/23/15,100,8,10,1,1,0,0,1,1
1 Room between Navyyard & Capitol,42082413,Zachary,8/21/15,2015,4,1,1,1,0,1,71,Washington,DC,20003,14,0,1,2,2,1,1,1,Real Bed,90,2,500,0,95,10,1,$0.00 ,1,1125,0,10/3/15,2,9/9/15,9/14/15,100,10,10,0,1,0,0,1,2
Brand New 1 Bedroom w/ Living Room,44777359,Candice,9/21/15,2015,0,1,1,1,0,1,71,Washington,DC,20003,14,0,1,1,2,1,0,1,Real Bed,150,2,600,2500,0,0,1,$0.00 ,1,1125,325,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Capitol Hill Row-House w/ Priv Bath,473055,Kathleen,3/30/11,2011,4,1,1,1,0,1,17,Washington,DC,20003,14,0,8,2,2,1,1,1,Real Bed,85,2,0,0,0,20,1,$15.00 ,3,14,344,10/3/15,145,4/26/12,9/15/15,95,9,9,1,2,1,0,1,3.46
MLB Playoff Apartment,6277558,Sam,5/7/13,2013,0,1,1,1,0,1,71,Washington,DC,20003,14,0,1,1,3,1,1,2,Real Bed,400,5,0,0,0,0,1,$0.00 ,1,1125,340,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Stunning Penthouse Loft Guestroom,173592,Stewart,7/19/10,2010,4,0,1,1,0,1,71,Washington,DC,20003,14,0,1,2,2,1,1,1,Real Bed,120,2,750,0,0,0,1,$0.00 ,2,1125,364,10/3/15,8,11/15/14,9/21/15,94,9,9,0,1,0,0,1,0.74
Historic E.Capitol 4 Bedroom house,553227,Tunde   Sunny,5/3/11,2011,3,1,3,3,0,1,7,Washington,DC,20019,14,0,8,1,10,2,4,4,Real Bed,215,3,1425,5500,500,125,8,$10.00 ,2,1825,343,10/2/15,29,5/28/12,8/23/15,74,8,7,1,3,0,0,3,0.71
"""Kozy Kot""",33666214,Kris,5/18/15,2015,0,1,1,1,1,1,42,Washington,DC,20019,14,0,8,2,2,0.5,1,1,Real Bed,90,2,0,0,0,0,1,$0.00 ,2,4,363,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Large Sunny 1 bedroom near the Hill,18896296,Laura,7/25/14,2014,4,1,1,1,1,1,7,Washington,DC,20019,14,0,8,2,2,1,1,1,Real Bed,50,1,315,1125,95,0,2,$10.00 ,2,240,324,10/2/15,23,6/5/15,9/28/15,88,9,8,1,2,0,0,1,5.7
Suburban living in the city!,40867137,Lacey,8/8/15,2015,0,1,1,1,1,1,41,Washington,DC,20019,14,0,8,1,4,2,2,2,Real Bed,65,2,0,0,0,0,1,$0.00 ,1,1125,29,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
Great price for DC room,38683977,Shaun,7/16/15,2015,4,1,2,2,1,1,82,Washington,DC,20019,14,0,8,2,2,1,1,1,Real Bed,55,2,340,1500,0,0,1,$0.00 ,2,30,356,10/3/15,4,8/21/15,9/18/15,100,10,9,1,1,0,0,2,2.73
Lovely Comfortable Home near Metro,4027780,Leonard,10/31/12,2012,4,1,1,1,0,1,42,Washington,DC,20019,14,0,8,1,8,2.5,3,1,Real Bed,129,2,0,0,200,0,4,$20.00 ,1,5,173,10/3/15,58,3/14/13,9/27/15,89,9,8,1,2,0,0,1,1.86
"Cozy, quiet, clean DC room",38683977,Shaun,7/16/15,2015,4,1,2,2,1,1,82,Washington,DC,20019,14,0,8,2,1,1,1,1,Futon,45,1,310,1100,0,0,1,$0.00 ,1,1125,275,10/3/15,4,8/11/15,9/22/15,90,9,10,1,1,0,0,2,2.22
[1375-2/1]2BR 1Block to White House,25188,Seamless,7/10/09,2009,4,1,480,480,0,1,31,Washington,DC,20005,14,0,1,1,5,2,2,2,Real Bed,299,4,0,7750,0,0,1,$0.00 ,3,365,159,10/3/15,34,9/24/11,9/28/15,95,10,10,1,4,0,1,5,0.69
[1375-2B]1 Block to White House,25188,Seamless,7/10/09,2009,3,1,480,480,0,1,31,Washington,DC,20005,14,0,1,1,5,2,2,2,Real Bed,309,4,0,8519,0,0,1,$0.00 ,4,365,356,10/2/15,8,4/8/15,8/2/15,95,10,10,1,4,0,1,5,1.34
Downtown - 2 BR / 2 BA with Parking,24421384,James,12/2/14,2014,4,0,2,2,0,1,68,Washington,DC,20001,14,0,1,1,4,2,2,3,Real Bed,180,3,0,0,250,50,1,$0.00 ,7,21,308,10/3/15,48,2/11/15,9/21/15,99,10,10,1,2,0,0,2,6.13
Walk to the White House - Thomas Cr,6293099,Omari,5/8/13,2013,4,1,3,3,0,1,61,Washington,DC,20005,14,0,1,1,4,1,1,1,Real Bed,149,2,915,3225,95,100,2,$15.00 ,3,1125,334,10/3/15,32,5/5/14,9/13/15,86,9,9,0,3,0,0,1,1.86
Lux 2BR Apt near Convention Center,9419684,Mike,10/14/13,2013,4,1,206,206,0,1,31,Washington,DC,20268,14,0,1,1,5,2,2,3,Real Bed,337,4,0,7770,0,100,1,$0.00 ,3,1125,42,10/3/15,6,4/18/15,9/1/15,100,10,10,1,2,0,1,19,1.07
Lux 2BR - Near Covention Center,25188,Seamless,7/10/09,2009,3,1,480,480,0,1,54,Washington,DC,20001,14,0,1,1,4,2,2,2,Real Bed,299,4,0,6720,0,0,1,$0.00 ,3,730,360,10/3/15,7,10/11/12,8/12/15,83,9,10,1,4,0,1,5,0.19
Rooftop Studio & DC 360 view,657541,Kathy,6/2/11,2011,4,1,1,1,1,1,54,Washington,DC,20001,14,0,1,1,3,1.5,0,1,Real Bed,126,2,900,2300,500,100,1,$50.00 ,2,1125,326,10/3/15,5,4/27/15,9/23/15,90,9,8,1,3,0,0,1,0.94
Luxury downtown condo,43105892,Renee,9/1/15,2015,4,1,1,1,0,1,31,Washington,DC,20005,14,0,1,2,2,1,1,1,Real Bed,99,2,599,2199,100,0,1,$20.00 ,1,1125,13,10/3/15,1,9/24/15,9/24/15,100,10,10,1,1,0,0,1,1
"[1038]1BR At 460 L Street, Penn Q",25188,Seamless,7/10/09,2009,3,1,480,480,0,1,68,Washington,DC,20001,14,0,1,1,2,1,1,1,Real Bed,199,3,0,4180,0,200,1,$0.00 ,7,1125,89,10/3/15,1,6/27/15,6/27/15,100,8,10,1,4,0,1,5,0.3
1 Bed Room Apt - Next to Capitol,24113696,Raina,11/24/14,2014,1,1,1,1,0,1,17,Washington,DC,20001,14,0,1,3,3,1,1,3,Real Bed,89,2,520,0,95,30,2,$10.00 ,1,1125,275,10/3/15,1,12/25/14,12/25/14,0,0,0,0,2,0,0,1,0.11
[1396-2/3]2BR at Newseum Residences,25188,Seamless,7/10/09,2009,4,1,480,480,0,1,31,Washington,DC,20001,14,0,1,1,4,2,2,2,Real Bed,309,4,0,8829,0,0,1,$0.00 ,4,365,365,10/3/15,1,10/19/14,10/19/14,80,2,10,1,4,0,1,5,0.09
Luxury Studio in Heart of DC,42951051,James,8/30/15,2015,0,1,1,1,1,1,54,Washington,DC,20001,14,0,1,1,2,1,0,1,Real Bed,115,2,635,2240,0,0,2,$50.00 ,1,1125,305,10/2/15,0,0,0,0,0,0,1,3,0,0,1,0
Spacious 1BR apt in heart of DC!,40073825,Nikki,7/30/15,2015,0,1,1,1,1,1,68,Washington,DC,20001,14,0,1,2,2,2,1,1,Real Bed,95,2,0,0,0,10,0,$0.00 ,1,1125,337,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
Luxuary apt in downtown DC,14859498,SueJung,4/28/14,2014,4,1,1,1,1,1,72,Washington,DC,20001,14,0,1,3,1,1,1,1,Real Bed,50,1,350,1300,95,15,0,$0.00 ,2,1125,89,10/2/15,6,8/5/15,9/15/15,97,9,9,1,2,0,0,1,3
